countyname,districtname,schoolname,total_5_8,title1allocation
GLOUCESTER,"EAST GREENWICH TOWNSHIP SCHOOL DISTRICT","Jeffrey Clark School",0,10456
GLOUCESTER,"EAST GREENWICH TOWNSHIP SCHOOL DISTRICT","Jeffrey Clark School",0,44440
GLOUCESTER,"EAST GREENWICH TOWNSHIP SCHOOL DISTRICT","Samuel Mickle School",367,10456
GLOUCESTER,"EAST GREENWICH TOWNSHIP SCHOOL DISTRICT","Samuel Mickle School",367,44440
GLOUCESTER,"ELK TOWNSHIP SCHOOL DISTRICT","Aura Elementary School",80,34855
GLOUCESTER,"GATEWAY REGIONAL HIGH SCHOOL DISTRICT","Gateway Regional High School",315,81037
GLOUCESTER,"GLASSBORO SCHOOL DISTRICT","Dorothy L. Bullock School",122,354647
GLOUCESTER,"GLASSBORO SCHOOL DISTRICT","Glassboro High School",0,354647
GLOUCESTER,"GLASSBORO SCHOOL DISTRICT","J. Harvey Rodgers School",0,354647
GLOUCESTER,"GLASSBORO SCHOOL DISTRICT","Thomas E. Bowe Middle School",412,354647
GLOUCESTER,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Broad Street Elementary School",39,10456
GLOUCESTER,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Broad Street Elementary School",39,44440
GLOUCESTER,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Nehaunsey Middle School",137,10456
GLOUCESTER,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Nehaunsey Middle School",137,44440
GLOUCESTER,"HARRISON TOWNSHIP SCHOOL DISTRICT","Harrison Township Elementary School",0,358243
GLOUCESTER,"HARRISON TOWNSHIP SCHOOL DISTRICT","Pleasant Valley School",392,358243
GLOUCESTER,"LOGAN TOWNSHIP SCHOOL DISTRICT","Logan Middle School",258,82780
GLOUCESTER,"LOGAN TOWNSHIP SCHOOL DISTRICT","Logan Township Elementary School",51,82780
GLOUCESTER,"LOGAN TOWNSHIP SCHOOL DISTRICT","The Francis E Donnelly Early Childhood Learning Center",0,82780
GLOUCESTER,"MANTUA TOWNSHIP SCHOOL DISTRICT","Centre City Elementary School",0,82780
GLOUCESTER,"MANTUA TOWNSHIP SCHOOL DISTRICT","J. Mason Tomlin Elementary School",299,82780
GLOUCESTER,"MANTUA TOWNSHIP SCHOOL DISTRICT","Sewell Elementary School",0,82780
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Holly Glen Elementary School",1,399087
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Oak Knoll Elementary School",2,399087
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Radix Elementary",0,399087
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Whitehall Elementary School",0,399087
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Williamstown High School",0,399087
GLOUCESTER,"MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT","Williamstown Middle School",1694,399087
GLOUCESTER,"NATIONAL PARK BOROUGH SCHOOL DISTRICT","National Park School",76,27012
GLOUCESTER,"SOUTH HARRISON TOWNSHIP SCHOOL DISTRICT","South Harrison Elementary School",85,358243
GLOUCESTER,"SOUTH HARRISON TOWNSHIP SCHOOL DISTRICT","South Harrison Elementary School",85,14813
GLOUCESTER,"SWEDESBORO-WOOLWICH SCHOOL DISTRICT","General Charles G. Harker School",224,33983
GLOUCESTER,"SWEDESBORO-WOOLWICH SCHOOL DISTRICT","Governor Charles C. Stratton",0,33983
GLOUCESTER,"SWEDESBORO-WOOLWICH SCHOOL DISTRICT","Margaret C. Clifford School",1,33983
GLOUCESTER,"SWEDESBORO-WOOLWICH SCHOOL DISTRICT","Walter Hill School",227,33983
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Green-Fields Elementary School",0,399958
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Green-Fields Elementary School",0,164689
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Oakview Elementary School",0,399958
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Oakview Elementary School",0,164689
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Red Bank Elementary School",0,399958
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","Red Bank Elementary School",0,164689
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","West Deptford High School",0,399958
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","West Deptford High School",0,164689
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","West Deptford Middle School",857,399958
GLOUCESTER,"WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT","West Deptford Middle School",857,164689
GLOUCESTER,"WOODBURY CITY PUBLIC SCHOOL DISTRICT","Evergreen Avenue Elementary School",42,331330
GLOUCESTER,"WOODBURY CITY PUBLIC SCHOOL DISTRICT","Walnut Street School",23,331330
GLOUCESTER,"WOODBURY CITY PUBLIC SCHOOL DISTRICT","West End Memorial Elementary School",57,331330
GLOUCESTER,"WOODBURY CITY PUBLIC SCHOOL DISTRICT","Woodbury Jr-Sr High School",366,331330
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Academy I",415,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Alexander D. Sullivan School",140,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Alfred Zampella School",283,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Chaplain Charles Watters School",325,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Charles E. Trefurt School",105,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Christa McAuliffe School",386,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Cornelia F. Bradford School",84,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Dr Ronald McNair High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Dr. Charles P. DeFuccio School",111,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Dr. Maya Angelou Elementary School",66,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Dr. Michael Conti School",200,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Dr. Paul Rafalides School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Ezra L. Nolan School",250,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Frank R Conwell School",71,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Franklin L. Williams School",906,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Gladys Nunery School",34,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Henry Snyder High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Infinity Institute",96,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Innovation High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","James F. Murray School",296,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","James J Ferris High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Joseph H. Brensinger School",415,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Jotham W. Wakeman School",82,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Julia A. Barnes School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Liberty High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Lincoln High School",0,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Mahatma K. Gandhi School",300,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Martin Center for the Arts",142,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Martin Luther King, Jr. School",299,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Middle School # 4",755,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Nicolaus Copernicus School",68,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Ollie Culbreth, Jr. School",129,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Patricia M. Noonan School, PS #26",49,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","President Barack Obama Elementary School",149,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Rafael Cordero y Molina",214,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Regional Day School",20,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Rev. Dr. Ercel F. Webb School",72,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","Whitney M. Young, Jr. School",192,15218974
HUDSON,"JERSEY CITY PUBLIC SCHOOLS","William L Dickinson High School",0,15218974
HUDSON,"UNION CITY SCHOOL DISTRICT","Colin Powell Elementary School",152,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Emerson Middle School",999,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Eugenio Maria de Hostos Center for Early Childhood Education",0,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","George Washington Elementary School",328,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Jefferson Elementary School",0,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Jose Marti STEM Academy",0,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Robert Waters Elementary School",295,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Sara M. Gilmore Academy",218,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Theodore Roosevelt Elementary School",233,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Thomas A Edison Elementary School",241,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Union City High School",0,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Union Hill Middle School",865,4423022
HUDSON,"UNION CITY SCHOOL DISTRICT","Veterans' Memorial Elementary School",86,4423022
HUNTERDON,"FRANKLIN TOWNSHIP SCHOOL DISTRICT","Franklin Township School",108,112406
HUNTERDON,"FRANKLIN TOWNSHIP SCHOOL DISTRICT","Franklin Township School",108,420871
HUNTERDON,"HAMPTON BOROUGH SCHOOL DISTRICT","Hampton Borough School",11,13942
HUNTERDON,"HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT","Hunterdon Central Regional High School District",0,182116
HUNTERDON,"UNION TOWNSHIP SCHOOL DISTRICT","Union Township Elementary School",0,486223
HUNTERDON,"UNION TOWNSHIP SCHOOL DISTRICT","Union Township Middle School",193,486223
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Ethel McKnight Elementary School",0,293651
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Grace N. Rogers Elementary School",177,293651
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Hightstown High School",0,293651
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Melvin H. Kreps Middle School",1160,293651
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Perry L. Drew Elementary School",194,293651
MERCER,"EAST WINDSOR REGIONAL SCHOOL DISTRICT","Walter C. Black Elementary School",0,293651
MERCER,"EWING TOWNSHIP SCHOOL DISTRICT","Ewing High School",1,326763
MERCER,"EWING TOWNSHIP SCHOOL DISTRICT","Francis Lore Elementary School",82,326763
MERCER,"EWING TOWNSHIP SCHOOL DISTRICT","Gilmore J Fisher Middle School",789,326763
MERCER,"EWING TOWNSHIP SCHOOL DISTRICT","Parkway Elementary School",73,326763
MERCER,"EWING TOWNSHIP SCHOOL DISTRICT","William L Antheil Elementary School",123,326763
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Albert E Grice Middle School",991,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Albert E Grice Middle School",991,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Alexander Elementary School",44,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Alexander Elementary School",44,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Emily C. Reynolds Middle School",966,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Emily C. Reynolds Middle School",966,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","George E. Wilson Elementary School",75,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","George E. Wilson Elementary School",75,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Greenwood Elementary School",50,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Greenwood Elementary School",50,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton East - Steinert",0,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton East - Steinert",0,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton North - Nottingham",0,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton North - Nottingham",0,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton West-Watson",0,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Hamilton West-Watson",0,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Kisthardt Elementary School",52,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Kisthardt Elementary School",52,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Klockner Elementary School",32,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Klockner Elementary School",32,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Kuser Elementary School",61,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Kuser Elementary School",61,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Lalor Elementary School",60,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Lalor Elementary School",60,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Langtree Elementary School",54,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Langtree Elementary School",54,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","McGalliard Elementary School",56,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","McGalliard Elementary School",56,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Mercerville Elementary School",63,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Mercerville Elementary School",63,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Morgan Elementary School",50,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Morgan Elementary School",50,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Richard C Crockett Middle School",834,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Richard C Crockett Middle School",834,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Robinson Elementary School",66,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Robinson Elementary School",66,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Sayen Elementary School",49,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Sayen Elementary School",49,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Sunnybrae Elementary School",45,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Sunnybrae Elementary School",45,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","University Heights Elementary School",35,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","University Heights Elementary School",35,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Yardville Elementary School",44,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Yardville Elementary School",44,1203359
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Yardville Heights Elementary School",54,287551
MERCER,"HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT","Yardville Heights Elementary School",54,1203359
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Ben Franklin Elementary",0,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Eldridge Park School",0,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Lawrence High School",0,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Lawrence Intermediate School",526,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Lawrence Middle School",584,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Lawrenceville Elementary School",0,85753
MERCER,"LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT","Slackwood Elementary School",0,85753
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Applegarth Elementary School",194,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Barclay Brook School",0,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Brookside Elementary School",138,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Mill Lake",0,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Monroe Township High School",6,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Monroe Township Middle School",1681,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Oak Tree Elementary School",0,399087
MIDDLESEX,"MONROE TOWNSHIP SCHOOL DISTRICT","Woodland School",134,399087
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","Arthur M. Judd",0,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","John Adams",0,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","Linwood School",763,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","Livingston Park",0,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","North Brunswick Township High School",0,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","North Brunswick Twp Early Childhood Center",0,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT","North Brunswick Twp. Middle School",754,331991
MIDDLESEX,"NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT",Parsons,0,331991
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Avenel Middle School",629,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Avenel Street Elementary School",87,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Claremont Avenue Elementary School",47,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Colonia High School",0,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Colonia Middle School",628,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Fords Middle School",645,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Indiana Avenue Elementary School",110,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Iselin Middle School",794,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","John F. Kennedy Memorial High School",0,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Kennedy Park Elementary School",0,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Lafayette Estates Elementary School",137,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Lynn Crest Elementary School",36,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Matthew Jago Elementary School",62,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Mawbey Street Elementary School",58,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Menlo Park Terrace Elementary School",77,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Oak Ridge Heights Elementary School",34,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Oak Tree Road Elementary School",70,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Pennsylvania Avenue Elementary School",45,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Port Reading Avenue Elementary School",54,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Robert Mascenik Elementary School",38,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Ross Street Elementary School",115,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbine Avenue Elementary School",63,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbridge High School",0,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbridge Middle School",513,864072
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Freehold Intermediate School",498,165560
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Freehold Learning Center",0,165560
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Park Avenue Elementary School",148,165560
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Cambridge Park Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Cliffwood Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Lloyd Road Elementary School",261,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Matawan Regional High School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Matawan-Aberdeen Middle School",835,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Ravine Drive Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Strathmore Elementary School",0,236141
MONMOUTH,"MONMOUTH REGIONAL HIGH SCHOOL","Monmouth Regional High School",0,63610
MONMOUTH,"NEPTUNE CITY SCHOOL DISTRICT","Woodrow Wilson",98,85394
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Gables Elementary School",36,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Green Grove Elementary School",32,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Midtown Community Elementary School",61,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Neptune High School",0,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Neptune Middle School",595,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Shark River Hills Elementary School",17,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Summerfield Elementary School",47,538505
MONMOUTH,"RED BANK BOROUGH PUBLIC SCHOOL DISTRICT","Red Bank Middle School",483,134191
MONMOUTH,"RED BANK BOROUGH PUBLIC SCHOOL DISTRICT","Red Bank Primary School",0,134191
MONMOUTH,"RED BANK REGIONAL SCHOOL DISTRICT","Red Bank Regional High School",0,52282
MONMOUTH,"SEA GIRT BOROUGH SCHOOL DISTRICT","Sea Girt Elementary School",70,18299
MONMOUTH,"UNION BEACH PUBLIC SCHOOL DISTRICT","Memorial School",241,98465
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","Boonton High School",0,87137
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","John Hill School",347,87137
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","School Street School",0,87137
MORRIS,"BOONTON TOWNSHIP SCHOOL DISTRICT","Rockaway Valley School",149,87137
MORRIS,"MINE HILL TOWNSHIP SCHOOL DISTRICT","Canfield Avenue School",90,33983
MORRIS,"MORRIS SCHOOL DISTRICT","Alexander Hamilton",87,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Alfred Vail School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Frelinghuysen Middle School",1078,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Hillcrest School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Lafayette Learning Center",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Morristown High School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Normandy Park School",56,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Sussex Avenue School",104,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Thomas Jefferson School",91,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Woodland School",0,299751
MORRIS,"WHARTON BOROUGH SCHOOL DISTRICT","Alfred C. MacKinnon Middle School",265,81909
MORRIS,"WHARTON BOROUGH SCHOOL DISTRICT","Marie V. Duffy Elementary School",69,81909
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Barnegat High School",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Cecil S. Collins Elementary",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Joseph T. Donahue Elementary School",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Lillian M. Dunfee Elementary",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Robert L. Horbelt Elementary School",499,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Russell O. Brackman Middle School",522,313692
OCEAN,"BAY HEAD BOROUGH SCHOOL DISTRICT","Bay Head Elementary",64,8714
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Bayville Elementary School",0,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Berkeley Township Elementary School",594,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Clara B. Worth Elementary School",0,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","H & M Potter School",0,155975
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Brick Township High School",0,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Brick Township Memorial High School",0,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Drum Point Road Elementary School",82,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Emma Havens Young Elementary School",127,820393
